Workflow,Risk Level,Can Survive,Root Files Referenced,Reference Count,Remediation Needed
actionlint-audit.yml,HIGH,No,.github/workflows/,1,Yes
adaptive-agent-delegation.yml,HIGH,No,.codex/,1,Yes
admin-action-t03.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
admin_setup_verification.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
agent-auth-delegation.yml,HIGH,No,".github/docs/, .github/workflows/, .codex/",3,Yes
agent-handoff-gate.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
agent-health-check.yml,HIGH,No,"requirements-dev.txt, .codex/",2,Yes
agent-orchestration-unified.yml,HIGH,No,.codex/,1,Yes
agent-registry-validation.yml,HIGH,No,.codex/,1,Yes
agent-var-writer.yml,HIGH,No,.codex/,1,Yes
agent_infrastructure_manager.yml,HIGH,No,"pyproject.toml, .codex/",2,Yes
app-package-download.yml,HIGH,No,"requirements.txt, README.md",2,Yes
artifact-monitoring.yml,HIGH,No,.codex/,1,Yes
audit-qa-suite.yml,HIGH,No,.codex/,1,Yes
auth-tests.yml,HIGH,No,"setup.py, requirements-test.txt, .github/workflows/, .codex/, tests/, coverage.json",6,Yes
auto-approve-workflows.yml,HIGH,No,.codex/,1,Yes
auto-fix-common-issues.yml,HIGH,No,".github/workflows/, tests/",2,Yes
auto-fix-pr-check.yml,HIGH,No,"pyproject.toml, noxfile.py, .github/workflows/, .codex/, tests/",5,Yes
automated-monitoring-setup.yml,HIGH,No,.codex/,1,Yes
automated-post-deployment-verification.yml,HIGH,No,".codex/, tests/",2,Yes
automated-release-creation.yml,HIGH,No,.codex/,1,Yes
automated-rollback-generation.yml,HIGH,No,"README.md, .codex/",2,Yes
autonomous-agent.yml,HIGH,No,.codex/,1,Yes
autonomy-phase-ci-matrix.yml,HIGH,No,tests/,1,Yes
batch-ci-triage.yml,HIGH,No,.github/workflows/,1,Yes
branch-divergence-monitor.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
build-agent-env-cache.yml,HIGH,No,pyproject.toml,1,Yes
build-preview-image.yml,HIGH,No,"pyproject.toml, Dockerfile, .github/workflows/",3,Yes
chatops_copilot_trigger.yml,HIGH,No,"pyproject.toml, .github/workflows/, .codex/, tests/",4,Yes
ci-checkpoint-validation.yml,HIGH,No,"pyproject.toml, requirements-eval.txt, .github/workflows/, .codex/",4,Yes
ci-failure-issue-creator.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
ci-health-monitor.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
ci-pattern-healer.yml,HIGH,No,.codex/,1,Yes
ci-pattern-prevention-gate.yml,HIGH,No,"mypy.ini, mypy.ini, .mypy_baseline, .github/workflows/, .codex/",5,Yes
code-quality-coverage-suite.yml,HIGH,No,".github/workflows/, tests/, coverage.json",3,Yes
codebase-health-sweep.yml,HIGH,No,".github/workflows/, .codex/",2,Yes
codeql-alert-fetcher.yml,HIGH,No,.codex/,1,Yes
