workflow_name,workflow_id,file_path,state,active_last_7_days,not_utilized_last_7_days_including_disabled,runs_7d,last_run_at_utc,success_7d,failure_7d,cancelled_7d,timed_out_7d,action_required_7d,queued_or_in_progress_7d,workflow_dependencies,granted_access_permissions,rate_limit_included,variable_mappings,tokenized_variable_refs,copilot_variable_refs,variable_ref_count,has_variable_mapping,branch_update_conflict_risk,branch_update_conflict_reasons,branch_update_conflict_mitigation_vars,trigger_types,workflow_dispatch_enabled,workflow_call_enabled,schedule_enabled,workflow_run_enabled,timeout_configured,concurrency_configured,runner_labels,artifact_upload_steps,recommended_portfolio_action,copilot_smoke_posture,portfolio_note
Workflow Compliance Audit (actionlint),240359274,.github/workflows/actionlint-audit.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,5,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-historical-use,unobserved-7d,Historic run volume remains high (908 lifetime runs); keep enabled.
Admin Action Notifier (Reusable),273070434,.github/workflows/admin-action-notifier.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [""admin-action-notifier.yml`""], ""workflow_run_upstreams"": []}",permissions: | contents: read | issues: write,False,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [""ASSIGNEE"", ""GAP_ID"", ""HTTP_STATUS"", ""ISSUE_BODY"", ""ISSUE_LABEL"", ""ISSUE_TITLE"", ""RESPONSE_MSG""], ""shell_env"": [""GITHUB_ENV"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TENV_ASSIGNEE,TENV_GAP_ID,TENV_HTTP_STATUS,TENV_ISSUE_BODY,TENV_ISSUE_LABEL,TENV_ISSUE_TITLE,TENV_RESPONSE_MSG",,12,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_call,issues",False,True,False,False,True,False,ubuntu-latest,0,keep-enabled-orchestration,unobserved-7d,Reusable or workflow_run path; idle 7d is not sufficient proof for safe disable.
Admin Action — T-03 security_events Scope Gate,273070435,.github/workflows/admin-action-t03.yml,active,True,False,47,2026-05-15T18:21:52Z,29,2,15,0,1,0,"{""reusable_calls"": [""admin-action-notifier.yml""], ""workflow_run_upstreams"": [""Trigger validations on approval"", ""⚡ Auto-Approve Pending Workflow Runs""]}",permissions: | contents: read | issues: write,True,"{""vars"": [], ""secrets"": [], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}",,,0,False,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,workflow_run,issues",True,False,False,True,False,True,,0,keep-enabled-active,approval-gated-or-mixed,Observed runs in the last 7 days.
Admin Setup Verification,239848562,.github/workflows/admin_setup_verification.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pull-requests: write | issues: write,True,"{""vars"": [""AUTONOMOUS_ACTIONS_ENABLED"", ""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_INJECTION_ENABLED"", ""COGNITIVE_BRAIN_SESSION_NUMBER""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""AUTONOMOUS_ACTIONS_ENABLED"", ""CODEX_BACKUP_KEY"", ""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_INJECTION_ENABLED"", ""COGNITIVE_BRAIN_SESSION_NUMBER"", ""GITHUB_ENV"", ""GITHUB_STEP_SUMMARY"", ""HAS_BACKUP_KEY"", ""HAS_MASTER_KEY"", ""PROMPT"", ""PR_NUMBER_INPUT"", ""READ_STATUS"", ""STATUS"", ""TARGET_PR"", ""WRITE_STATUS""], ""repo_var_matches"": [""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_INJECTION_ENABLED"", ""COGNITIVE_BRAIN_SESSION_NUMBER""], ""copilot_focus_vars"": [""CODEX_BACKUP_KEY"", ""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_INJECTION_ENABLED"", ""COGNITIVE_BRAIN_SESSION_NUMBER""]}","TVAR_AUTONOMOUS_ACTIONS_ENABLED,TVAR_COGNITIVE_BRAIN_ALLOWED_ACTORS,TVAR_COGNITIVE_BRAIN_INJECTION_ENABLED,TVAR_COGNITIVE_BRAIN_SESSION_NUMBER,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY","CODEX_BACKUP_KEY,COGNITIVE_BRAIN_ALLOWED_ACTORS,COGNITIVE_BRAIN_INJECTION_ENABLED,COGNITIVE_BRAIN_SESSION_NUMBER",16,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,workflow_dispatch,issues,repository_dispatch",True,False,False,False,True,True,ubuntu-latest,0,keep-enabled-historical-use,unobserved-7d,Historic run volume remains meaningful (70 lifetime runs); keep enabled.
Agent Token Delegation,239894970,.github/workflows/agent-auth-delegation.yml,active,True,False,5,2026-05-15T04:44:07Z,0,1,4,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write | issues: write,True,"{""vars"": [""COGNITIVE_BRAIN_SESSION_NUMBER"", ""COPILOT_AGENT_AUTH_ENABLED"", ""COPILOT_SESSION_TTL_SECONDS""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""CB_PATTERNS"", ""GITHUB_REPOSITORY"", ""GITHUB_RUN_ID"", ""GITHUB_SERVER_URL""], ""shell_env"": [""BASE_REF"", ""BODY"", ""CANDIDATE"", ""CAUTHOR"", ""CB_BLOCK"", ""CHANGELOG"", ""CHANGES"", ""CHANGES_OUTPUT"", ""COMMITS"", ""CSUBJECT"", ""EMPTY_COMMITS"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""GITIGNORE"", ""IS_INFRA_AUTHOR"", ""IS_INFRA_SUBJECT"", ""MAX_LOOKBACK"", ""MEMORY_OK"", ""NEGATION"", ""PASS_FAILURES"", ""PATTERN_FILE"", ""PR_NUMBER"", ""REGISTRY_OK"", ""REPORT"", ""SHA""], ""repo_var_matches"": [""COGNITIVE_BRAIN_SESSION_NUMBER"", ""COPILOT_AGENT_AUTH_ENABLED""], ""copilot_focus_vars"": [""COGNITIVE_BRAIN_SESSION_NUMBER"", ""COPILOT_AGENT_AUTH_ENABLED"", ""COPILOT_SESSION_TTL_SECONDS""]}","TVAR_COGNITIVE_BRAIN_SESSION_NUMBER,TVAR_COPILOT_AGENT_AUTH_ENABLED,TVAR_COPILOT_SESSION_TTL_SECONDS,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_CB_PATTERNS,TENV_GITHUB_REPOSITORY,TENV_GITHUB_RUN_ID,TENV_GITHUB_SERVER_URL","COGNITIVE_BRAIN_SESSION_NUMBER,COPILOT_AGENT_AUTH_ENABLED,COPILOT_SESSION_TTL_SECONDS",39,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest,0,keep-enabled-wec-critical,observed-failures,WEC always-required or merge-required; disabling interrupts approval or merge-readiness gates.
Agent Handoff Gate,240374741,.github/workflows/agent-handoff-gate.yml,active,True,False,5,2026-05-15T16:03:08Z,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | pull-requests: write | issues: write | contents: read,True,"{""vars"": [""AGENT_HANDOFF_TIMEOUT_SECONDS"", ""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""DELEGATING_AGENT"", ""ENFORCEMENT_TIER"", ""OPERATING_MODEL"", ""RECEIVING_AGENT"", ""SCHEMA_ERRORS"", ""TASK_ID"", ""TIER1_GATES_COUNT"", ""TRACE_DEPTH"", ""VALIDATION_STATUS"", ""VIOLATION_COUNT""], ""shell_env"": [], ""repo_var_matches"": [""AGENT_HANDOFF_TIMEOUT_SECONDS""], ""copilot_focus_vars"": [""AGENT_HANDOFF_TIMEOUT_SECONDS"", ""CODEX_CACHE_VERSION""]}","TVAR_AGENT_HANDOFF_TIMEOUT_SECONDS,TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_DELEGATING_AGENT,TENV_ENFORCEMENT_TIER,TENV_OPERATING_MODEL,TENV_RECEIVING_AGENT,TENV_SCHEMA_ERRORS,TENV_TASK_ID,TENV_TIER1_GATES_COUNT,TENV_TRACE_DEPTH,TENV_VALIDATION_STATUS,TENV_VIOLATION_COUNT","AGENT_HANDOFF_TIMEOUT_SECONDS,CODEX_CACHE_VERSION",15,True,low,no direct write patterns detected or low branch-drift interaction risk,,"issue_comment,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Agent Orchestration (Unified),231490929,.github/workflows/agent-orchestration-unified.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write | actions: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""TARGET_AGENT""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",CODEX_CACHE_VERSION,6,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,workflow_run,issues",True,False,False,True,True,True,ubuntu-latest,2,keep-enabled-orchestration,unobserved-7d,Reusable or workflow_run path; idle 7d is not sufficient proof for safe disable.
Agent Registry Validation,240343981,.github/workflows/agent-registry-validation.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | actions: write | contents: read | pull-requests: write,True,"{""vars"": [""CODEX_CACHE_VERSION"", ""EMBEDDING_INDEX_AUTO_REBUILD""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""ERROR_COUNT"", ""MANIFEST_VALID"", ""REGISTRY_VALID""], ""shell_env"": [], ""repo_var_matches"": [""EMBEDDING_INDEX_AUTO_REBUILD""], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TVAR_EMBEDDING_INDEX_AUTO_REBUILD,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_ERROR_COUNT,TENV_MANIFEST_VALID,TENV_REGISTRY_VALID",CODEX_CACHE_VERSION,8,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-historical-use,unobserved-7d,Historic run volume remains high (992 lifetime runs); keep enabled.
Agent Variable Writer (Provenance-Chain),239965367,.github/workflows/agent-var-writer.yml,active,True,False,5,2026-05-15T16:03:08Z,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",,3,True,high,write-capable + event-driven workflow; may race with branch/main drift during active sessions,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","issue_comment,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Agent Infrastructure Manager,239927148,.github/workflows/agent_infrastructure_manager.yml,active,True,False,5,2026-05-15T16:03:08Z,3,0,2,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write,True,"{""vars"": [""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""WEBHOOK_RECEIVER_URL""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""WEBHOOK_SECRET""], ""env_context"": [], ""shell_env"": [""ALLOWED"", ""COMMENT_ACTOR"", ""COMMENT_BODY"", ""CREDENTIALS_FILE"", ""EVENT_NAME"", ""EXTRA_ARGS"", ""GITHUB_OUTPUT"", ""OPERATION"", ""OUTPUT"", ""PR_NUMBER""], ""repo_var_matches"": [""COGNITIVE_BRAIN_ALLOWED_ACTORS""], ""copilot_focus_vars"": [""COGNITIVE_BRAIN_ALLOWED_ACTORS""]}","TVAR_COGNITIVE_BRAIN_ALLOWED_ACTORS,TVAR_WEBHOOK_RECEIVER_URL,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_WEBHOOK_SECRET",COGNITIVE_BRAIN_ALLOWED_ACTORS,15,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,issue_comment,issues,repository_dispatch",True,False,False,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
